SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
118,Athnamulloch 23,2,3,,Unforested,Ungrazed,1,Galium saxatile,3,205205,818463,
127,Athnamulloch 24,2,3,,Unforested,Ungrazed,1,Holcus mollis,9,205205,818463,
125,Athnamulloch 25,2,3,,Unforested,Ungrazed,1,Hylocomium splendens,8,205205,818463,
126,Athnamulloch 26,2,3,,Unforested,Ungrazed,1,Litter,6,205205,818463,
132,Athnamulloch 27,2,3,,Unforested,Ungrazed,1,Ranunculus ficaria,4,205205,818463,
131,Athnamulloch 28,2,3,,Unforested,Ungrazed,1,Rhytidiadelphus sp.,5,205205,818463,
144,Athnamulloch 29,2,3,,Unforested,Ungrazed,1,Vaccinium myrtillus,7,205205,818463,
141,Athnamulloch 30,2,3,,Unforested,Ungrazed,2,Anthoxanthum odoratum,3,205205,818463,
139,Athnamulloch 31,2,3,,Unforested,Ungrazed,2,Deschampsia cespitosa,9,205205,818463,
143,Athnamulloch 32,2,3,,Unforested,Ungrazed,2,Litter,6,205205,818463,
134,Athnamulloch 33,2,3,,Unforested,Ungrazed,2,Potentilla erecta,3,205205,818463,
140,Athnamulloch 34,2,3,,Unforested,Ungrazed,2,Rhytidiadelphus sp.,4,205205,818463,
142,Athnamulloch 35,2,3,,Unforested,Ungrazed,2,Rumex acetosa,3,205205,818463,
136,Athnamulloch 36,2,3,,Unforested,Ungrazed,2,Vaccinium myrtillus,6,205205,818463,
138,Athnamulloch 37,2,3,,Unforested,Ungrazed,3,Deschampsia cespitosa,9,205205,818463,
135,Athnamulloch 38,2,3,,Unforested,Ungrazed,3,Hylocomium splendens,6,205205,818463,
133,Athnamulloch 39,2,3,,Unforested,Ungrazed,3,Litter,6,205205,818463,
137,Athnamulloch 40,2,3,,Unforested,Ungrazed,3,Poa trivialis,4,205205,818463,
202,River Flat,3,1,7,Reforestation,Ungrazed,3,Potentilla erecta,3,205205,818463,7
206,River Flat,3,1,,Reforestation,Ungrazed,3,Rhytidiadelphus sp.,5,205205,818463,
207,River Flat,3,1,,Reforestation,Ungrazed,3,Rumex acetosa,3,205205,818463,
205,River Flat,3,1,,Reforestation,Ungrazed,3,Vaccinium myrtillus,7,205205,818463,
208,River Flat,3,1,,Reforestation,Ungrazed,NA,Anemone nemorosa,NA,205205,818463,
209,River Flat,3,1,,Reforestation,Ungrazed,NA,Blechnum spicant,NA,205205,818463,
203,River Flat,3,1,,Reforestation,Ungrazed,NA,Hyacinthoides non-scripta,NA,205205,818463,
204,River Flat,3,1,,Reforestation,Ungrazed,NA,Veronica montana,NA,205205,818463,
210,River Flat,3,1,,Reforestation,Ungrazed,NA,Viola palustris,NA,205205,818463,
211,River Flat,3,1,,Reforestation,Ungrazed,1,Calluna vulgaris,4,223516,825891,
213,River Flat,3,1,,Reforestation,Ungrazed,1,Hylocomium splendens,6,223516,825891,
220,River Flat,3,1,,Reforestation,Ungrazed,1,Litter,10,223516,825891,
217,River Flat,3,1,,Reforestation,Ungrazed,1,Molinia caerulea,6,223516,825891,
212,River Flat,3,1,,Reforestation,Ungrazed,1,Pteridium aquilinum,4,223516,825891,
216,River Flat,3,1,,Reforestation,Ungrazed,2,Calluna vulgaris,5,223516,825891,
219,River Flat,3,1,,Reforestation,Ungrazed,2,Calluna vulgaris,4,223516,825891,
215,River Flat,3,1,,Reforestation,Ungrazed,2,Hylocomium splendens,6,223516,825891,
214,River Flat,3,1,,Reforestation,Ungrazed,2,Litter,10,223516,825891,
218,River Flat,3,1,,Reforestation,Ungrazed,2,Molinia caerulea,5,223516,825891,
221,River Flat,3,1,,Reforestation,Ungrazed,2,Potentilla erecta,3,223516,825891,
233,River Flat,3,1,,Reforestation,Ungrazed,2,Pteridium aquilinum,4,223516,825891,
232,River Flat,3,1,,Reforestation,Ungrazed,2,Rhytidiadelphus sp.,3,223516,825891,
224,River Flat,3,1,,Reforestation,Ungrazed,3,Calluna vulgaris,3,223516,825891,
226,River Flat,3,1,,Reforestation,Ungrazed,3,Hylocomium splendens,8,223516,825891,
